int_rate,dti_log,annual_inc,revol_util,installment,revol_bal,loan_amnt,total_acc,debt_settlement_flag_Y,open_acc,fico_range_low,fico_range_high,mort_acc,inq_last_6mths,term_ 60 months,delinq_2yrs
13.11,2.9439125248241944,65000.0,58.2,539.96,33470.0,16000.0,28.0,False,10.0,715.0,719.0,1.0,2.0,False,0.0
7.89,1.8870696490323797,65000.0,17.9,505.6,2095.0,25000.0,32.0,False,13.0,680.0,684.0,6.0,0.0,True,0.0
7.9,2.498151876538021,84000.0,30.8,312.91,13349.0,10000.0,34.0,False,21.0,705.0,709.0,0.0,0.0,False,0.0
14.49,2.998229153752578,210000.0,60.2,1032.49,73602.0,30000.0,43.0,False,16.0,700.0,704.0,2.0,2.0,False,0.0
12.29,1.9401794743463283,130000.0,70.6,400.24,14334.0,12000.0,24.0,False,12.0,660.0,664.0,1.0,0.0,False,0.0
9.88,2.517696472610991,48000.0,91.8,154.62,11388.0,4800.0,37.0,False,14.0,730.0,734.0,1.0,0.0,False,0.0
11.86,2.920469789053444,50650.0,34.6,198.89,5817.0,6000.0,13.0,False,12.0,690.0,694.0,1.0,0.0,False,0.0
10.99,3.265759410767051,55000.0,37.5,392.81,12661.0,12000.0,23.0,False,13.0,710.0,714.0,3.0,1.0,False,0.0
11.53,3.257711848653399,65000.0,64.4,440.16,53880.0,20000.0,31.0,False,18.0,695.0,699.0,2.0,1.0,True,0.0
14.64,3.100092288878234,57500.0,73.0,179.35,9855.0,5200.0,10.0,False,6.0,685.0,689.0,0.0,1.0,False,0.0
15.8,2.1838015570040787,72000.0,78.5,271.71,6202.0,7750.0,10.0,False,5.0,680.0,684.0,0.0,2.0,False,0.0
16.29,3.1917101567954314,38000.0,24.9,176.51,11602.0,5000.0,23.0,False,20.0,685.0,689.0,1.0,0.0,False,0.0
9.71,1.8500283773520307,73000.0,53.8,449.84,16186.0,14000.0,22.0,False,12.0,710.0,714.0,1.0,2.0,False,0.0
15.88,2.451005098112319,93400.0,84.6,582.11,32663.0,24000.0,29.0,False,16.0,660.0,664.0,2.0,0.0,True,1.0
12.69,3.1949928844048685,46000.0,37.2,264.17,5353.0,7875.0,25.0,False,11.0,665.0,669.0,2.0,2.0,False,0.0
7.66,3.150596984114906,37000.0,22.2,187.08,14718.0,6000.0,18.0,False,9.0,715.0,719.0,1.0,1.0,False,0.0
18.99,2.4932054526026954,30000.0,8.9,62.31,1187.0,1700.0,27.0,False,13.0,720.0,724.0,0.0,4.0,False,0.0
18.75,3.289893312103481,35000.0,72.9,444.75,12693.0,12175.0,23.0,False,10.0,670.0,674.0,0.0,0.0,False,1.0
11.47,2.1150499691472033,68000.0,38.3,98.89,3068.0,3000.0,13.0,False,12.0,715.0,719.0,0.0,0.0,False,0.0
23.43,3.3054204262683866,49000.0,85.9,582.99,36689.0,20500.0,23.0,False,13.0,660.0,664.0,0.0,0.0,True,0.0
14.31,3.1608228934195837,80000.0,71.5,820.03,20438.0,35000.0,35.0,False,13.0,695.0,699.0,7.0,0.0,True,0.0
15.31,2.8112082932048366,67000.0,31.7,269.84,5023.0,7750.0,35.0,False,20.0,745.0,749.0,3.0,0.0,False,0.0
16.49,3.0791538816930633,87000.0,83.5,722.15,13111.0,20400.0,45.0,False,16.0,660.0,664.0,3.0,1.0,False,0.0
9.17,3.086486636822455,42000.0,33.0,191.28,7733.0,6000.0,14.0,False,8.0,735.0,739.0,0.0,2.0,False,0.0
11.48,2.644044871126298,50000.0,50.9,197.8,12070.0,6000.0,23.0,False,12.0,670.0,674.0,1.0,0.0,False,1.0
6.49,0.2468600779315258,62920.0,12.8,168.55,4034.0,5500.0,9.0,False,5.0,785.0,789.0,1.0,1.0,False,0.0
15.22,3.3769046890931107,35000.0,43.9,254.72,4170.0,7325.0,20.0,True,10.0,705.0,709.0,0.0,2.0,False,0.0
19.99,3.035433640405543,85000.0,18.9,927.1,3486.0,35000.0,28.0,False,9.0,670.0,674.0,3.0,0.0,True,0.0
9.17,2.343727036325221,60000.0,17.5,318.79,6397.0,10000.0,39.0,False,14.0,740.0,744.0,3.0,3.0,False,0.0
14.31,2.8797600973015705,25000.0,83.9,343.29,8473.0,10000.0,7.0,False,5.0,685.0,689.0,0.0,0.0,False,0.0
20.99,3.08922261664133,55000.0,95.2,540.96,9618.0,20000.0,21.0,False,7.0,670.0,674.0,0.0,0.0,True,0.0
6.62,2.7427736371605955,105000.0,50.6,614.08,18214.0,20000.0,23.0,False,14.0,740.0,744.0,0.0,0.0,False,0.0
17.27,2.3085671646715933,230000.0,97.7,1145.2,66885.0,32000.0,20.0,False,8.0,705.0,709.0,2.0,1.0,False,0.0
21.99,2.9559514035421466,56000.0,65.0,358.98,6822.0,13000.0,17.0,False,5.0,675.0,679.0,3.0,3.0,True,0.0
12.69,2.658859956911438,97000.0,92.3,474.49,18284.0,21000.0,11.0,False,7.0,690.0,694.0,1.0,0.0,True,0.0
7.9,1.900613874140137,35500.0,18.1,500.65,3871.0,16000.0,26.0,False,16.0,735.0,739.0,1.0,0.0,False,0.0
15.31,3.492560387676128,42000.0,84.3,139.27,16947.0,4000.0,44.0,False,19.0,670.0,674.0,3.0,1.0,False,0.0
14.09,2.4475508632442313,51000.0,28.2,123.2,3156.0,3600.0,23.0,False,15.0,685.0,689.0,2.0,1.0,False,0.0
10.74,3.0440461338325417,65544.0,83.1,163.08,11466.0,5000.0,25.0,False,10.0,695.0,699.0,1.0,2.0,False,0.0
12.99,2.4292177439274116,35000.0,6.7,33.69,442.0,1000.0,21.0,False,7.0,760.0,764.0,0.0,0.0,False,0.0
22.7,2.801540544189549,76600.0,92.0,358.64,10583.0,12800.0,14.0,False,7.0,665.0,669.0,2.0,1.0,True,0.0
10.74,2.6525374911719513,65000.0,54.0,391.39,10360.0,12000.0,12.0,False,12.0,700.0,704.0,1.0,0.0,False,0.0
17.76,3.264995760481754,98000.0,83.9,821.54,10233.0,22800.0,20.0,False,11.0,705.0,709.0,1.0,2.0,False,0.0
11.48,2.8713021951758138,77000.0,52.9,692.34,33386.0,21000.0,34.0,False,11.0,760.0,764.0,1.0,1.0,False,0.0
8.9,2.7000180294049456,90000.0,9.8,952.6,5616.0,30000.0,30.0,False,14.0,815.0,819.0,1.0,1.0,False,0.0
19.05,3.0238337036648657,45000.0,44.2,454.45,11381.0,17500.0,33.0,False,11.0,690.0,694.0,0.0,2.0,True,0.0
6.03,1.9960599327407849,60000.0,7.2,350.01,1923.0,11500.0,24.0,False,7.0,805.0,809.0,1.0,0.0,False,0.0
14.09,2.6803363625346943,70000.0,51.1,219.02,5414.0,6400.0,30.0,False,8.0,680.0,684.0,0.0,1.0,False,0.0
10.16,2.827313621929028,36000.0,16.5,258.74,4747.0,8000.0,16.0,False,14.0,745.0,749.0,1.0,1.0,False,0.0
11.53,2.8690346205080335,65000.0,80.2,330.12,16604.0,15000.0,25.0,False,7.0,690.0,694.0,1.0,1.0,True,0.0
22.06,3.0530573401732606,72000.0,35.9,967.86,21366.0,35000.0,42.0,False,22.0,675.0,679.0,1.0,3.0,True,2.0
11.67,3.030616675407493,45000.0,23.0,404.13,4476.0,12225.0,20.0,False,10.0,715.0,719.0,1.0,3.0,False,0.0
14.99,2.0881534822818573,50000.0,18.0,332.75,6230.0,9600.0,25.0,False,8.0,670.0,674.0,4.0,0.0,False,0.0
14.3,2.405141681319138,60000.0,78.8,205.95,10948.0,6000.0,11.0,False,9.0,660.0,664.0,1.0,0.0,False,0.0
13.99,2.0541237336955462,98000.0,45.9,239.21,4915.0,7000.0,12.0,False,7.0,665.0,669.0,0.0,1.0,False,0.0
8.9,2.4948569806411682,36000.0,26.6,349.29,11976.0,11000.0,30.0,False,16.0,710.0,714.0,0.0,1.0,False,0.0
15.88,2.8021475244813256,109200.0,66.2,436.58,19191.0,18000.0,21.0,False,11.0,670.0,674.0,1.0,1.0,True,0.0
15.31,-0.09431067947124129,89400.0,22.2,835.62,4237.0,24000.0,18.0,False,8.0,705.0,709.0,0.0,1.0,False,0.0
18.99,3.4041928906419536,43488.0,79.3,380.26,26817.0,10375.0,24.0,False,8.0,670.0,674.0,3.0,1.0,False,0.0
13.11,2.2762411176544437,60000.0,84.0,101.25,840.0,3000.0,5.0,False,2.0,715.0,719.0,1.0,1.0,False,0.0
10.49,3.548179572010801,86000.0,74.1,601.7,76488.0,28000.0,20.0,False,8.0,725.0,729.0,1.0,0.0,True,0.0
9.75,3.017982882488811,41000.0,73.4,385.8,5724.0,12000.0,30.0,False,9.0,670.0,674.0,4.0,0.0,False,1.0
12.88,3.1063787936410545,84000.0,62.0,129.5,86157.0,3850.0,21.0,False,14.0,765.0,769.0,4.0,0.0,False,0.0
6.03,2.222459048514761,93120.0,46.0,608.72,28409.0,20000.0,27.0,False,11.0,750.0,754.0,3.0,0.0,False,0.0
6.03,3.210440346047099,28000.0,37.4,410.12,9899.0,13475.0,22.0,False,7.0,750.0,754.0,1.0,0.0,False,0.0
13.66,3.078693794268338,42000.0,72.7,326.53,16146.0,9600.0,19.0,False,15.0,660.0,664.0,0.0,1.0,False,0.0
15.61,2.038619547159581,32000.0,32.8,402.1,8436.0,11500.0,18.0,False,15.0,665.0,669.0,0.0,1.0,False,1.0
7.62,2.5817308344235403,68400.0,22.9,623.23,20778.0,20000.0,39.0,False,17.0,730.0,734.0,5.0,0.0,False,1.0
11.53,2.340843805111136,110000.0,62.5,659.81,13252.0,20000.0,14.0,False,6.0,670.0,674.0,0.0,0.0,False,0.0
17.14,1.8900953699489167,51000.0,75.4,39.89,754.0,1600.0,10.0,False,3.0,670.0,674.0,1.0,2.0,True,0.0
12.99,2.3711778844596574,90000.0,83.9,242.57,4197.0,7200.0,15.0,False,6.0,660.0,664.0,0.0,0.0,False,0.0
8.39,2.1234584270966104,96000.0,46.6,787.92,25537.0,25000.0,50.0,False,16.0,700.0,704.0,5.0,1.0,False,0.0
9.49,2.844327819394758,50000.0,56.2,307.48,3876.0,9600.0,25.0,False,10.0,660.0,664.0,5.0,0.0,False,0.0
7.69,3.019448800171307,75600.0,41.5,867.19,23204.0,27800.0,26.0,False,18.0,695.0,699.0,2.0,0.0,False,0.0
10.64,2.329227023940467,110000.0,90.5,488.53,18380.0,15000.0,17.0,False,6.0,670.0,674.0,2.0,0.0,False,2.0
14.64,3.299533727885655,50000.0,68.1,236.02,17443.0,10000.0,21.0,False,11.0,705.0,709.0,2.0,0.0,True,0.0
16.2,2.7536607123542622,48000.0,56.6,425.6,5599.0,17425.0,18.0,False,7.0,680.0,684.0,0.0,0.0,True,1.0
13.49,2.278292400425001,80000.0,55.8,169.66,4070.0,5000.0,14.0,False,4.0,690.0,694.0,1.0,3.0,False,0.0
10.99,2.6789646202071133,90000.0,96.1,523.75,25378.0,16000.0,27.0,False,6.0,660.0,664.0,2.0,3.0,False,1.0
11.14,2.449279472144849,155000.0,66.3,485.52,149134.0,14800.0,38.0,False,15.0,715.0,719.0,0.0,2.0,False,0.0
11.14,3.2076126325894903,37260.0,60.7,323.13,10016.0,9850.0,11.0,False,6.0,705.0,709.0,0.0,0.0,False,0.0
11.99,2.295560478057081,89000.0,89.2,464.94,12492.0,14000.0,14.0,False,8.0,675.0,679.0,2.0,0.0,False,1.0
15.61,2.857618971424357,31000.0,39.0,174.83,10371.0,5000.0,17.0,False,14.0,665.0,669.0,0.0,4.0,False,0.0
19.99,3.319987326236612,30000.0,93.7,89.19,2435.0,2400.0,8.0,False,5.0,705.0,709.0,0.0,0.0,False,0.0
11.67,2.0566845545572194,102102.0,17.9,229.62,6020.0,10400.0,11.0,False,7.0,730.0,734.0,0.0,1.0,True,0.0
14.99,3.563882963939251,105000.0,52.0,879.51,15395.0,25375.0,37.0,False,13.0,700.0,704.0,6.0,3.0,False,0.0
10.16,3.2653776585196206,31000.0,87.0,177.89,8530.0,5500.0,17.0,False,10.0,705.0,709.0,0.0,0.0,False,0.0
12.69,3.4404180948154366,87000.0,89.2,838.63,35862.0,25000.0,37.0,False,18.0,675.0,679.0,3.0,0.0,False,0.0
5.93,2.179286876649552,60000.0,26.2,577.42,16843.0,19000.0,21.0,False,11.0,755.0,759.0,3.0,0.0,False,0.0
11.44,3.2928695047765273,60000.0,92.7,329.48,33271.0,10000.0,37.0,False,10.0,675.0,679.0,3.0,0.0,False,2.0
15.61,2.847812143477369,55000.0,40.7,482.23,9242.0,20000.0,35.0,False,20.0,685.0,689.0,0.0,0.0,True,1.0
21.99,2.7744619666214616,80000.0,47.1,472.19,4429.0,17100.0,42.0,False,9.0,670.0,674.0,4.0,0.0,True,0.0
15.61,3.3145495749364833,115000.0,83.0,979.02,79827.0,28000.0,35.0,False,19.0,685.0,689.0,5.0,1.0,False,1.0
14.99,3.263084079532521,35000.0,61.4,285.42,21999.0,12000.0,27.0,False,13.0,690.0,694.0,5.0,0.0,True,0.0
16.99,2.3960754360813845,106000.0,49.0,347.57,2945.0,9750.0,35.0,False,9.0,670.0,674.0,6.0,3.0,False,16.0
12.12,3.2284300376730126,65000.0,69.7,181.34,3416.0,5450.0,21.0,False,7.0,695.0,699.0,2.0,3.0,False,1.0
16.24,3.375537634881578,82000.0,48.6,366.69,33942.0,15000.0,63.0,False,22.0,710.0,714.0,4.0,1.0,True,0.0
15.31,3.2232661731694936,56000.0,52.9,597.03,30781.0,24925.0,44.0,False,20.0,710.0,714.0,2.0,0.0,True,0.0
9.99,3.0096351787229825,100000.0,66.5,743.48,32607.0,35000.0,32.0,False,14.0,685.0,689.0,2.0,0.0,True,0.0
18.25,2.4458192610799534,30000.0,49.5,195.0,5938.0,5375.0,12.0,False,6.0,660.0,664.0,2.0,0.0,False,1.0
14.65,1.631199404215613,142000.0,44.7,655.39,4072.0,19000.0,27.0,False,6.0,675.0,679.0,5.0,2.0,False,0.0
15.31,2.771963526845863,72500.0,84.4,574.88,26246.0,24000.0,24.0,False,6.0,720.0,724.0,7.0,1.0,True,0.0
14.16,2.3427668826268775,61000.0,59.0,274.05,6551.0,8000.0,16.0,False,7.0,670.0,674.0,0.0,1.0,False,0.0
18.49,1.965712776351493,200000.0,53.0,436.24,15362.0,17000.0,20.0,False,9.0,660.0,664.0,0.0,1.0,True,1.0
14.98,3.171364842197149,170000.0,46.5,706.25,84512.0,29700.0,32.0,False,15.0,730.0,734.0,4.0,0.0,True,1.0
16.35,3.214867803470662,60000.0,45.4,565.27,17353.0,16000.0,45.0,False,25.0,695.0,699.0,1.0,1.0,False,0.0
18.25,3.4035279970004377,70000.0,11.9,631.24,2033.0,17400.0,13.0,False,9.0,710.0,714.0,0.0,0.0,False,1.0
12.53,2.451005098112319,41004.0,14.4,348.05,2045.0,10400.0,18.0,False,9.0,710.0,714.0,1.0,3.0,False,0.0
6.03,3.050220458838061,66000.0,5.3,304.36,3356.0,10000.0,17.0,False,11.0,805.0,809.0,1.0,0.0,False,0.0
7.62,1.9198594718553705,45000.0,43.3,311.62,8434.0,10000.0,16.0,False,8.0,735.0,739.0,1.0,2.0,False,0.0
11.86,1.2178757094949273,84996.0,36.3,55.44,2426.0,2500.0,14.0,False,6.0,700.0,704.0,1.0,0.0,True,0.0
22.9,2.388762789235098,50000.0,35.3,77.32,2257.0,2000.0,20.0,False,11.0,680.0,684.0,2.0,1.0,False,1.0
15.31,2.377692565480851,175000.0,61.4,974.89,35320.0,28000.0,15.0,False,6.0,685.0,689.0,0.0,1.0,False,0.0
6.62,2.513656063073986,44000.0,20.4,245.63,3564.0,8000.0,9.0,False,5.0,780.0,784.0,0.0,2.0,False,0.0
9.16,2.649714624089247,41000.0,37.9,102.0,3144.0,3200.0,33.0,False,12.0,665.0,669.0,1.0,0.0,False,0.0
18.24,2.8992213731731473,59600.0,44.1,605.57,7325.0,23725.0,9.0,False,8.0,705.0,709.0,0.0,0.0,True,0.0
12.29,2.9543893100196086,179000.0,67.7,1167.36,53924.0,35000.0,23.0,False,13.0,670.0,674.0,0.0,0.0,False,1.0
7.9,2.9947317732204075,60000.0,26.6,312.91,30928.0,10000.0,27.0,False,14.0,735.0,739.0,2.0,1.0,False,0.0
23.1,2.5726122302071057,47000.0,66.9,584.03,9705.0,20675.0,23.0,False,9.0,660.0,664.0,0.0,0.0,True,0.0
11.49,2.6411978941143697,40560.0,43.8,263.86,7700.0,12000.0,19.0,False,6.0,755.0,759.0,1.0,1.0,True,0.0
20.5,1.3609765531356006,24012.0,16.3,187.1,1324.0,5000.0,11.0,False,6.0,715.0,719.0,1.0,0.0,False,0.0
24.99,1.6992786164338898,97850.0,101.0,586.91,16969.0,20000.0,9.0,True,7.0,670.0,674.0,0.0,1.0,True,0.0
7.62,2.180417459019838,80000.0,51.8,747.88,26023.0,24000.0,16.0,False,4.0,725.0,729.0,0.0,0.0,False,0.0
18.99,3.2128577525426376,161000.0,57.0,907.73,40741.0,35000.0,34.0,False,15.0,690.0,694.0,6.0,0.0,True,0.0
15.61,3.3758795736778655,23424.0,54.5,340.91,16560.0,9750.0,22.0,False,10.0,705.0,709.0,0.0,0.0,False,1.0
10.75,2.540814281726296,72000.0,44.4,234.87,6933.0,7200.0,32.0,False,15.0,675.0,679.0,0.0,1.0,False,0.0
9.99,3.475376779836407,45000.0,21.2,180.67,2862.0,5600.0,15.0,False,9.0,665.0,669.0,1.0,0.0,False,0.0
14.99,3.3638415951183864,37000.0,31.3,346.61,8851.0,10000.0,35.0,False,19.0,670.0,674.0,0.0,0.0,False,0.0
18.25,2.744060638625243,33000.0,23.3,406.32,3535.0,11200.0,26.0,False,17.0,690.0,694.0,0.0,0.0,False,0.0
17.27,2.532902848056256,110000.0,73.9,636.2,24766.0,25450.0,43.0,False,10.0,675.0,679.0,8.0,2.0,True,1.0
22.47,3.1625170911988167,61000.0,87.6,515.91,10867.0,18500.0,20.0,False,10.0,665.0,669.0,1.0,0.0,True,0.0
12.87,2.7173402480093025,43000.0,41.6,269.07,4616.0,8000.0,36.0,False,22.0,700.0,704.0,1.0,1.0,False,1.0
16.29,3.112181086197238,70000.0,59.5,440.51,19802.0,18000.0,28.0,False,16.0,680.0,684.0,0.0,1.0,True,0.0
9.49,2.6019486702196644,50000.0,31.6,240.22,2748.0,7500.0,29.0,False,7.0,665.0,669.0,2.0,0.0,False,0.0
5.32,2.640484881606444,75000.0,25.5,391.5,2979.0,13000.0,47.0,False,21.0,690.0,694.0,2.0,0.0,False,4.0
15.61,2.7350166493320245,53000.0,95.0,335.67,11310.0,9600.0,21.0,False,8.0,670.0,674.0,0.0,2.0,False,1.0
23.99,3.2991646560970036,69000.0,64.1,575.25,13856.0,20000.0,54.0,False,8.0,675.0,679.0,5.0,0.0,True,2.0
8.39,3.001217203784561,40000.0,44.6,315.17,10714.0,10000.0,21.0,False,11.0,695.0,699.0,0.0,0.0,False,0.0
14.65,3.104586678466073,40000.0,32.0,275.96,2716.0,8000.0,39.0,False,16.0,670.0,674.0,0.0,1.0,False,2.0
16.29,2.534490149976828,68000.0,60.5,140.32,4539.0,3975.0,31.0,False,11.0,660.0,664.0,1.0,1.0,False,0.0
7.9,2.1815467646169897,185000.0,25.9,563.23,22340.0,18000.0,24.0,False,19.0,740.0,744.0,0.0,0.0,False,0.0
20.8,2.757475084429733,150000.0,81.1,808.23,29272.0,30000.0,33.0,True,17.0,670.0,674.0,2.0,0.0,True,0.0
10.99,2.255493485460195,52000.0,56.8,687.42,13520.0,21000.0,16.0,False,9.0,680.0,684.0,0.0,1.0,False,0.0
12.99,3.2969473602883563,72500.0,95.3,377.32,46490.0,11200.0,11.0,False,7.0,675.0,679.0,1.0,1.0,False,0.0
14.98,2.840247370713596,100000.0,66.1,1039.67,20744.0,30000.0,40.0,False,14.0,675.0,679.0,7.0,0.0,False,1.0
7.9,2.006870848845,104000.0,23.8,876.13,24665.0,28000.0,38.0,False,20.0,740.0,744.0,3.0,1.0,False,1.0
18.84,3.1432898379116057,26000.0,52.7,320.04,10227.0,8750.0,31.0,False,15.0,670.0,674.0,3.0,0.0,False,0.0
14.99,3.6798387094617873,59000.0,46.5,499.12,16218.0,14400.0,46.0,False,20.0,710.0,714.0,0.0,0.0,False,1.0
9.75,1.7984040119467235,105000.0,4.9,771.6,3619.0,24000.0,26.0,False,9.0,780.0,784.0,1.0,2.0,False,0.0
19.52,3.3541057741283047,34000.0,50.7,316.59,10689.0,8575.0,40.0,False,13.0,665.0,669.0,0.0,2.0,False,0.0
11.67,2.5384474167160302,80000.0,31.7,561.97,17459.0,17000.0,14.0,False,9.0,705.0,709.0,0.0,1.0,False,2.0
